ID;Gemeente;VO;MBO;HBO;WO;Inwoners
GM0342;Soest;2854;1142;851;272;45508
GM0847;Someren;1199;663;420;76;18628
GM0848;Son en Breugel;1094;373;346;82;16138
GM0612;Spijkenisse;3850;2785;1353;451;72375
GM0037;Stadskanaal;1884;1294;431;81;32885
GM0180;Staphorst;1259;698;326;47;16275
GM0532;Stede Broec;1409;706;392;102;21430
GM0851;Steenbergen;1287;774;414;62;23400
GM1708;Steenwijkerland;2695;1595;763;73;43437
GM0971;Stein (L.);1208;629;473;137;25431
GM1904;Stichtse Vecht;3886;1589;1151;490;63491
GM0617;Strijen;552;293;180;43;8777
GM1900;Súdwest-Fryslân;5331;3066;1584;167;82639
GM0715;Terneuzen;2935;1755;564;29;54729
GM0093;Terschelling;259;92;414;3;4795
GM0448;Texel;995;374;75;17;13662
GM1525;Teylingen;2521;863;832;402;35800
GM0716;Tholen;1677;1029;347;55;25514
GM0281;Tiel;2612;1450;746;214;41751
GM0855;Tilburg;10618;6035;8464;6985;208527
GM0183;Tubbergen;1501;824;605;88;21172
GM1700;Twenterand;2088;1240;622;87;33971
GM1730;Tynaarlo;2253;878;514;161;32456
GM0737;Tytsjerksteradiel;1977;1061;676;115;31979
GM0282;Ubbergen;566;236;176;105;9504
GM0856;Uden;2414;1356;785;159;40948
GM0450;Uitgeest;929;431;287;108;13061
GM0451;Uithoorn;1935;742;498;214;28387
GM0184;Urk;1657;1003;286;25;19225
GM0344;Utrecht (gemeente);13171;6584;12778;19033;321916
GM1581;Utrechtse Heuvelrug;3230;1014;714;338;48092
GM0981;Vaals;369;223;133;24;9771
GM0994;Valkenburg aan de Geul;825;367;335;91;16814
GM0858;Valkenswaard;1682;905;589;122;30584
GM0047;Veendam;1574;1047;412;90;27914
GM0345;Veenendaal;4067;2032;1428;382;63032
GM0717;Veere;1435;716;324;42;21903
GM0860;Veghel;2392;1290;772;133;37437
GM0861;Veldhoven;2559;1333;899;257;44092
GM0453;Velsen;4429;2092;1320;521;67122
GM0983;Venlo;5287;3091;1957;477;100159
GM0984;Venray;2812;1514;865;162;43038
GM0620;Vianen;1133;656;324;112;19670
